"filename", "language", "JavaScript", "Docker", "Ignore", "Markdown", "JSON", "comment", "blank", "total"
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\.dockerignore", "Ignore", 0, 0, 9, 0, 0, 0, 0, 9
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\Dockerfile", "Docker", 0, 8, 0, 0, 0, 6, 7, 21
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\jest.config.js", "JavaScript", 20, 0, 0, 0, 0, 4, 1, 25
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\package-lock.json", "JSON", 0, 0, 0, 0, 7999, 0, 1, 8000
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\package.json", "JSON", 0, 0, 0, 0, 45, 0, 1, 46
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\api\auth\index.js", "JavaScript", 116, 0, 0, 0, 0, 74, 22, 212
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\api\positions\index.js", "JavaScript", 245, 0, 0, 0, 0, 134, 51, 430
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\api\resumes\index.js", "JavaScript", 298, 0, 0, 0, 0, 152, 59, 509
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\api\upload\index.js", "JavaScript", 141, 0, 0, 0, 0, 57, 24, 222
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\app.js", "JavaScript", 32, 0, 0, 0, 0, 13, 12, 57
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\config\database.js", "JavaScript", 48, 0, 0, 0, 0, 4, 2, 54
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\config\index.js", "JavaScript", 32, 0, 0, 0, 0, 6, 5, 43
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\middleware\auth.js", "JavaScript", 59, 0, 0, 0, 0, 82, 21, 162
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\middleware\error.js", "JavaScript", 127, 0, 0, 0, 0, 87, 23, 237
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\middleware\upload.js", "JavaScript", 96, 0, 0, 0, 0, 70, 22, 188
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\middleware\validation.js", "JavaScript", 378, 0, 0, 0, 0, 227, 38, 643
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\models\ApplicationRecord.js", "JavaScript", 87, 0, 0, 0, 0, 5, 3, 95
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\models\ResumeMetadata.js", "JavaScript", 72, 0, 0, 0, 0, 6, 3, 81
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\models\ResumeVersion.js", "JavaScript", 80, 0, 0, 0, 0, 5, 3, 88
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\models\TargetPosition.js", "JavaScript", 57, 0, 0, 0, 0, 4, 3, 64
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\models\User.js", "JavaScript", 44, 0, 0, 0, 0, 4, 3, 51
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\src\models\index.js", "JavaScript", 50, 0, 0, 0, 0, 10, 7, 67
