"filename", "language", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\contract\TOKEN_UPDATE_STATUS.md", "Markdown", 30, 0, 0, 13, 43
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\contract\auth-login.test.js", "JavaScript", 0, 191, 165, 61, 417
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\contract\auth-register.test.js", "JavaScript", 0, 130, 126, 44, 300
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\contract\resumes-post.test.js", "JavaScript", 0, 302, 52, 58, 412
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\contract\resumes-put-metadata.test.js", "JavaScript", 0, 166, 72, 47, 285
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\contract\resumes-upload.test.js", "JavaScript", 0, 435, 84, 90, 609
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\contract\target-positions-delete.test.js", "JavaScript", 0, 153, 79, 38, 270
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\contract\target-positions-get-by-id.test.js", "JavaScript", 0, 154, 74, 38, 266
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\contract\target-positions-get.test.js", "JavaScript", 0, 107, 53, 26, 186
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\contract\target-positions-post.test.js", "JavaScript", 0, 209, 76, 47, 332
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\contract\target-positions-put.test.js", "JavaScript", 0, 241, 88, 55, 384
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\integration\README.md", "Markdown", 69, 0, 0, 18, 87
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\integration\auth.test.js", "JavaScript", 0, 289, 305, 106, 700
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\integration\permissions.test.js", "JavaScript", 0, 325, 24, 68, 417
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\integration\positions.test.js", "JavaScript", 0, 476, 97, 166, 739
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\integration\resumes.test.js", "JavaScript", 0, 493, 89, 107, 689
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\integration\upload.test.js", "JavaScript", 0, 461, 110, 153, 724
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\setup.js", "JavaScript", 0, 6, 7, 4, 17
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\api\applications.test.js", "JavaScript", 0, 361, 6, 80, 447
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\api\auth.test.js", "JavaScript", 0, 271, 14, 59, 344
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\api\positions.test.js", "JavaScript", 0, 387, 6, 91, 484
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\api\resumes.test.js", "JavaScript", 0, 1235, 11, 267, 1513
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\api\upload.test.js", "JavaScript", 0, 380, 14, 85, 479
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\services\applicationService.test.js", "JavaScript", 0, 539, 7, 115, 661
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\services\authService.test.js", "JavaScript", 0, 232, 57, 55, 344
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\services\fileService.test.js", "JavaScript", 0, 432, 12, 164, 608
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\services\metadataService.test.js", "JavaScript", 0, 621, 6, 120, 747
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\services\positionService.test.js", "JavaScript", 0, 308, 29, 57, 394
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\services\resumeService.test.js", "JavaScript", 0, 739, 7, 130, 876
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\utils\crypto.test.js", "JavaScript", 0, 173, 10, 46, 229
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\utils\logger.test.js", "JavaScript", 0, 140, 6, 29, 175
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\unit\utils\response.test.js", "JavaScript", 0, 173, 6, 45, 224
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\utils\auth-helper.js", "JavaScript", 0, 84, 66, 19, 169
"d:\Users\JUSTsoo\Documents\aprojectCODE\ResuOpti\backend\tests\utils\token-generator.js", "JavaScript", 0, 91, 72, 23, 186
"Total", "-", 99, 10304, 1830, 2524, 14757
